message length,caches on?,send before reply,optimization,team name,time (µs)
4 bytes,off,yes,off,marada/nillerbr,230
64 bytes,off,yes,off,marada/nillerbr,233
4 bytes,on,yes,off,marada/nillerbr,16
64 bytes,on,yes,off,marada/nillerbr,17
4 bytes,off,no,off,marada/nillerbr,235
64 bytes,off,no,off,marada/nillerbr,238
4 bytes,on,no,off,marada/nillerbr,17
64 bytes,on,no,off,marada/nillerbr,17
4 bytes,off,yes,on,marada/nillerbr,112
64 bytes,off,yes,on,marada/nillerbr,116
4 bytes,on,yes,on,marada/nillerbr,7
64 bytes,on,yes,on,marada/nillerbr,7
4 bytes,off,no,on,marada/nillerbr,114
64 bytes,off,no,on,marada/nillerbr,118
4 bytes,on,no,on,marada/nillerbr,7
64 bytes,on,no,on,marada/nillerbr,7
